N_level;dth;HD_day;GY
75kgN/ha;60;27.06.2022;5,55
75kgN/ha;62;29.06.2022;5,85
75kgN/ha;63;30.06.2022;5,96
75kgN/ha;60;27.06.2022;4,38
75kgN/ha;60;27.06.2022;5,21
75kgN/ha;62;29.06.2022;6,99
75kgN/ha;59;26.06.2022;5,64
75kgN/ha;60;27.06.2022;5,31
75kgN/ha;59;26.06.2022;4,27
75kgN/ha;59;26.06.2022;5,33
75kgN/ha;60;27.06.2022;4,15
75kgN/ha;62;29.06.2022;5,49
75kgN/ha;60;27.06.2022;5,74
75kgN/ha;59;26.06.2022;6,92
75kgN/ha;;;6,34
75kgN/ha;59;26.06.2022;5,89
150kgN/ha;;;5,88
150kgN/ha;60;27.06.2022;6,04
150kgN/ha;59;26.06.2022;4,10
150kgN/ha;59;26.06.2022;3,92
150kgN/ha;62;29.06.2022;4,84
150kgN/ha;60;27.06.2022;6,25
150kgN/ha;59;26.06.2022;7,09
150kgN/ha;60;27.06.2022;5,86
150kgN/ha;60;27.06.2022;5,15
150kgN/ha;60;27.06.2022;4,94
150kgN/ha;62;29.06.2022;6,68
150kgN/ha;63;30.06.2022;5,82
150kgN/ha;60;27.06.2022;4,88
150kgN/ha;58;25.06.2022;5,04
150kgN/ha;59;26.06.2022;6,36
150kgN/ha;63;30.06.2022;7,13
150kgN/ha;60;27.06.2022;6,55
150kgN/ha;60;27.06.2022;6,61
150kgN/ha;59;26.06.2022;
150kgN/ha;62;29.06.2022;6,72
150kgN/ha;59;26.06.2022;6,40
150kgN/ha;62;29.06.2022;7,68
150kgN/ha;;01.06.2022;7,98
150kgN/ha;58;25.06.2022;5,75
150kgN/ha;60;27.06.2022;6,87
150kgN/ha;59;26.06.2022;7,02
150kgN/ha;60;27.06.2022;6,76
150kgN/ha;62;29.06.2022;7,37
150kgN/ha;61;28.06.2022;6,23
150kgN/ha;;;7,50
150kgN/ha;60;27.06.2022;5,58
150kgN/ha;58;25.06.2022;5,01
75kgN/ha;60;27.06.2022;5,58
75kgN/ha;61;28.06.2022;5,94
75kgN/ha;59;26.06.2022;5,00
75kgN/ha;63;30.06.2022;6,44
75kgN/ha;60;27.06.2022;4,91
75kgN/ha;58;25.06.2022;4,68
75kgN/ha;60;27.06.2022;6,84
75kgN/ha;59;26.06.2022;5,69
75kgN/ha;;;6,83
75kgN/ha;60;27.06.2022;5,47
75kgN/ha;60;27.06.2022;6,44
75kgN/ha;59;26.06.2022;5,64
75kgN/ha;;01.06.2022;7,03
75kgN/ha;61;28.06.2022;6,13
75kgN/ha;60;27.06.2022;6,28
75kgN/ha;59;26.06.2022;5,53
